fips	lat	lon	Am_Ind	Asian	Black_Hisp	White_Hisp	Black_non_Hisp	White_non_Hisp	Tot Active M.D.s Non-Fed & Fed	3-Yr Homicides&Legal Interventn	Births	Poor mental health days Value	Adult smoking Value	Adult obesity Value	Food environment index Value	Physical inactivity Value	Excessive drinking Value	Uninsured Value	Some college Value	Unemployment Value	Income inequality Value	Severe housing problems Value	Population living in a rural area Value	Food insecurity Value	Health care costs Value	Median household income Value	density	Female life expectancy, 2010 (years)
17071	40.815141	-90.93848	0.000497141436739	0.000497141436739	0.0	0.00882426050211	0.00347999005717	0.981108625404	0.000621426795923	0.0	0.00745712155108	3.3	0.145	0.324	8.5	0.28	0.196	0.13	0.612	0.063	4.083	0.085	0.997	0.118	9108.0	50999.0	19.3	82.1
17073	41.350021	-90.130838	0.00098908055072	0.00344200031651	0.000929735717677	0.0303449912961	0.0120865643298	0.944215856939	0.000593448330432	3.95632220288e-05	0.010959012502	3.4	0.149	0.307	8.1	0.286	0.202	0.108	0.602	0.067	4.075	0.098	0.503	0.114	8418.0	51025.0	61.3	81.0
40079	34.899642	-94.703491	0.110900917394	0.00272573788165	0.000345802567076	0.0483513354081	0.0222330709302	0.769776855638	0.0001627306198	6.10239824251e-05	0.0149915583491	4.7	0.235	0.393	6.3	0.327	0.109	0.266	0.471	0.07	4.795	0.159	0.729	0.186	12433.0	36627.0	31.7	76.6
41019	43.285904	-123.15438	0.0160636730262	0.00722235148131	0.000300527377075	0.0338432604312	0.00190010857763	0.915823251125	0.00169652551574	2.90832945556e-05	0.0104215138824	4.1	0.175	0.31	6.2	0.193	0.19	0.174	0.594	0.094	4.289	0.171	0.412	0.173	6839.0	41504.0	21.4	79.6
45029	32.83498	-80.655345	0.00636443995454	0.00267710569516	0.00376310140169	0.0134107841899	0.410380098497	0.558025003157	0.00118701856295	0.000151534284632	0.0129056699078	4.4	0.221	0.396	5.8	0.306	0.134	0.225	0.476	0.076	4.493	0.176	0.756	0.185	10377.0	35558.0	36.8	76.5
41011	43.184193	-124.092557	0.0228117792874	0.00955458981158	0.000596181301872	0.0357865670939	0.00381242253565	0.899998431102	0.00232196928097	4.70669448846e-05	0.0101821490767	4.2	0.169	0.283	6.9	0.202	0.176	0.183	0.537	0.092	4.418	0.172	0.384	0.17	7736.0	39956.0	39.5	78.5
45025	34.637018	-80.159227	0.00348818406524	0.00390399408626	0.00401949686987	0.0229850539398	0.332694217931	0.627364919495	0.000600614474809	0.000115502783617	0.0128208089815	4.3	0.252	0.344	6.1	0.298	0.143	0.197	0.434	0.069	5.386	0.144	0.738	0.197	9348.0	34949.0	58.5	76.6
41013	44.163054	-120.371585	0.0113890963406	0.00410754294249	9.33532486931e-05	0.0582057505601	0.000373412994772	0.916495519044	0.000746825989544	0.0	0.0115758028379	4.2	0.172	0.265	6.8	0.188	0.171	0.18	0.469	0.101	4.118	0.204	0.48	0.177	6771.0	38155.0	7.0	80.4
45027	33.664682	-80.217889	0.00241276351902	0.00274451850288	0.00274451850288	0.0161353560334	0.516813945773	0.456464698254	0.000965105407606	0.000120638175951	0.014778176554	4.3	0.208	0.398	6.3	0.284	0.122	0.207	0.467	0.085	5.338	0.152	0.857	0.211	10559.0	32268.0	57.6	78.7
41015	42.466671	-124.211407	0.0211312217195	0.00954751131222	0.000135746606335	0.0386877828054	0.00162895927602	0.90963800905	0.000995475113122	9.04977375566e-05	0.00760180995475	3.9	0.153	0.29	6.9	0.189	0.176	0.184	0.541	0.104	4.348	0.213	0.387	0.166	6892.0	40524.0	13.7	80.6
